ID|Transcription|Normalized transcription
LJ028-0203|Less picturesque than this Hebrew legend is the royal record of Babylon, which fortunately was inscribed upon a clay cylinder from the ruins of the city.|Less picturesque than this Hebrew legend is the royal record of Babylon, which fortunately was inscribed upon a clay cylinder from the ruins of the city.
LJ028-0204|It refers to the death of the King's son, possibly to Belshazzar of the Bible story.|It refers to the death of the King's son, possibly to Belshazzar of the Bible story.
LJ028-0205|In the month Tammuz, when Cyrus fought the troops of Akkad (Babylonia) at Opis on the river Salsallat,|In the month Tammuz, when Cyrus fought the troops of Akkad (Babylonia) at Opis on the river Salsallat,
LJ028-0206|he subdued the people, and wherever they collected, he slew them.|he subdued the people, and wherever they collected, he slew them.
LJ028-0207|On the fourteenth day Sippar was taken without a battle.|On the fourteenth day Sippar was taken without a battle.
LJ028-0208|Nabonidus fled.|Nabonidus fled.
LJ028-0209|On the sixteenth day the troops of Cyrus entered Babylon without a battle.|On the sixteenth day the troops of Cyrus entered Babylon without a battle.
LJ028-0210|Nabonidus was taken prisoner in Babylon. On the third of Marchesvan Cyrus entered Babylon and proclaimed peace to all the city.|Nabonidus was taken prisoner in Babylon. On the third of Marchesvan Cyrus entered Babylon and proclaimed peace to all the city.
LJ028-0211|He appointed Gobrias governor of Babylon.|He appointed Gobrias governor of Babylon.
LJ028-0212|On the night of the eleventh day Gobrias killed the son of the King.|On the night of the eleventh day Gobrias killed the son of the King.
LJ028-0213|Nor does the royal record of Babylon contain the only contemporary account of the fall of the city,|Nor does the royal record of Babylon contain the only contemporary account of the fall of the city,
LJ028-0214|for upon a barrel-shaped cylinder of clay bearing a long inscription we have Cyrus's account of his capture of Babylon. Extracts from it are as follows:|for upon a barrel-shaped cylinder of clay bearing a long inscription we have Cyrus's account of his capture of Babylon. Extracts from it are as follows:
LJ028-0215|Marduk, the great lord, looking with joy on his pious works and upright heart,|Marduk, the great lord, looking with joy on his pious works and upright heart,
LJ028-0216|commanded him (Cyrus) to go forth to his city Babylon, and he went by his side as a friend and companion.|commanded him (Cyrus) to go forth to his city Babylon, and he went by his side as a friend and companion.
LJ028-0217|His many troops, whose number, like the waters of the river, could not be counted, marched in full armor at his side,|His many troops, whose number, like the waters of the river, could not be counted, marched in full armor at his side,
LJ028-0218|Without a skirmish or a battle, he permitted them to enter Babylon, and, sparing the city, he delivered the King Nabonidus to him.|Without a skirmish or a battle, he permitted them to enter Babylon, and, sparing the city, he delivered the King Nabonidus to him.
LJ028-0219|All the people of Babylon prostrated themselves before him, and, kissing his feet, rejoiced in his sovereignty, while happiness shone on their faces.|All the people of Babylon prostrated themselves before him, and, kissing his feet, rejoiced in his sovereignty, while happiness shone on their faces.
LJ028-0220|The inscription continues: I am Cyrus, king of the world.|The inscription continues: I am Cyrus, king of the world.
LJ028-0221|When I made my gracious entry into Babylon, with exceeding joy I took up my abode in the royal palace.|When I made my gracious entry into Babylon, with exceeding joy I took up my abode in the royal palace.
LJ028-0222|My many troops marched peacefully into Babylon.|My many troops marched peacefully into Babylon.
LJ028-0223|I gave heed to the needs of Babylon and its cities, and the servitude of the Babylonians, whatever was oppressive, I removed from them.|I gave heed to the needs of Babylon and its cities, and the servitude of the Babylonians, whatever was oppressive, I removed from them.
LJ028-0224|I quieted their sighings and soothed their sorrows.|I quieted their sighings and soothed their sorrows.
LJ028-0225|A much longer account of the capture of Babylon by Cyrus appears in the writings of Herodotus.|A much longer account of the capture of Babylon by Cyrus appears in the writings of Herodotus.
LJ028-0226|Though Herodotus wrote nearly a hundred years after Babylon fell, his story seems to bear the stamp of truth.|Though Herodotus wrote nearly a hundred years after Babylon fell, his story seems to bear the stamp of truth.
LJ028-0227|He certainly mentions details which neither Nabonidus nor Cyrus would care to have appear in their royal records. His story is as follows:|He certainly mentions details which neither Nabonidus nor Cyrus would care to have appear in their royal records. His story is as follows:
LJ028-0228|Cyrus, with the first approach of the ensuing spring, marched forward against Babylon.|Cyrus, with the first approach of the ensuing spring, marched forward against Babylon.
LJ028-0229|The Babylonians, encamped without their walls, awaited his coming.|The Babylonians, encamped without their walls, awaited his coming.
LJ028-0230|A battle was fought at a short distance from the city, in which the Babylonians were defeated by the Persian King,|A battle was fought at a short distance from the city, in which the Babylonians were defeated by the Persian King,
LJ028-0231|whereupon they withdrew within their defenses.|whereupon they withdrew within their defenses.
LJ028-0232|Here they shut themselves up and made light of his siege, having laid in a store of provision for many years in preparation against this attack;|Here they shut themselves up and made light of his siege, having laid in a store of provision for many years in preparation against this attack;
LJ028-0233|for when they saw Cyrus conquering nation after nation, they were convinced that he would never stop, and their turn would come at last.|for when they saw Cyrus conquering nation after nation, they were convinced that he would never stop, and their turn would come at last.
LJ028-0234|Cyrus was now reduced to great perplexity, as time went on and he made no progress against the place.|Cyrus was now reduced to great perplexity, as time went on and he made no progress against the place.
LJ028-0235|In this distress either someone made this suggestion to him, or he bethought himself of a plan which he proceeded to put in execution.|In this distress either someone made this suggestion to him, or he bethought himself of a plan which he proceeded to put in execution.
LJ028-0236|He placed a portion of his army at the point where the river enters the city, and another body at the back of the place where it issues forth,|He placed a portion of his army at the point where the river enters the city, and another body at the back of the place where it issues forth,
LJ028-0237|with orders to march into the town by the bed of the stream, as soon as the water became shallow enough:|with orders to march into the town by the bed of the stream, as soon as the water became shallow enough:
LJ028-0238|he then himself drew off with the unwarlike portion of his host, and made for the place where Nitocris dug the basin for the river,|he then himself drew off with the unwarlike portion of his host, and made for the place where Nitocris dug the basin for the river,
LJ028-0239|where he did exactly what she had done formerly: he turned the Euphrates by a canal into the basin, which was then a marsh,|where he did exactly what she had done formerly: he turned the Euphrates by a canal into the basin, which was then a marsh,
LJ028-0240|on which the river sank to such an extent that the natural bed of the stream became fordable.|on which the river sank to such an extent that the natural bed of the stream became fordable.
LJ028-0241|Hereupon the Persians who had been left for the purpose at Babylon by the river side|Hereupon the Persians who had been left for the purpose at Babylon by the river side
LJ028-0242|entered the stream, which had now sunk so as to reach about midway up a man's thigh, and thus got into the town.|entered the stream, which had now sunk so as to reach about midway up a man's thigh, and thus got into the town.
LJ028-0243|Had the Babylonians been apprised of what Cyrus was about, or had they noticed their danger, they would never have allowed the Persians to enter the city,|Had the Babylonians been apprised of what Cyrus was about, or had they noticed their danger, they would never have allowed the Persians to enter the city,
LJ028-0244|but would have destroyed them utterly; for they would have made fast all the street gates which gave upon the river,|but would have destroyed them utterly; for they would have made fast all the street gates which gave upon the river,
LJ028-0245|and mounting upon the walls along both sides of the stream, would so have caught the enemy as it were in a trap.|and mounting upon the walls along both sides of the stream, would so have caught the enemy as it were in a trap.
LJ028-0246|But, as it was, the Persians came upon them by surprise and so took the city.|But, as it was, the Persians came upon them by surprise and so took the city.
LJ028-0247|Owing to the vast size of the place, the inhabitants of the central parts (as the residents of Babylon declare),|Owing to the vast size of the place, the inhabitants of the central parts (as the residents of Babylon declare),
LJ028-0248|long after the outer portions of the town were taken, knew nothing of what had chanced, but as they were engaged in a festival,|long after the outer portions of the town were taken, knew nothing of what had chanced, but as they were engaged in a festival,
LJ028-0249|continued dancing and reveling until they learned the capture but too certainly.|continued dancing and reveling until they learned the capture but too certainly.
LJ028-0250|Such, then, were the circumstances of the first taking of Babylon.|Such, then, were the circumstances of the first taking of Babylon.
LJ028-0251|When Cyrus took Babylon, little or no force was employed.|When Cyrus took Babylon, little or no force was employed.
LJ028-0252|Only the King's son, Belshazzar, was killed.|Only the King's son, Belshazzar, was killed.
LJ028-0253|The city was spared; the great walls were left standing; the daily sacrifices were continued in the temples, and Cyrus made his home in the royal palace.|The city was spared; the great walls were left standing; the daily sacrifices were continued in the temples, and Cyrus made his home in the royal palace.
LJ028-0254|The people, enjoying the greater freedom which Cyrus permitted them, were contented, and life in Babylon went on about as before.|The people, enjoying the greater freedom which Cyrus permitted them, were contented, and life in Babylon went on about as before.
LJ028-0255|In 529 Cyrus died.|In five twenty-nine Cyrus died.
LJ028-0256|During the reigns of the two following Persian kings Babylon was slowly regaining its independence,|During the reigns of the two following Persian kings Babylon was slowly regaining its independence,
LJ028-0257|and in 521 Nebuchadnezzar III., a native Babylonian, was placed on the throne.|and in five twenty-one Nebuchadnezzar the third, a native Babylonian, was placed on the throne.
LJ028-0258|Then the Babylonians secretly plotted to throw off the Persian yoke.|Then the Babylonians secretly plotted to throw off the Persian yoke.
LJ028-0259|That same year, when Darius Hystaspes came to the Persian throne, the Babylonians openly rebelled.|That same year, when Darius Hystaspes came to the Persian throne, the Babylonians openly rebelled.
LJ028-0260|The following story from Herodotus tells the results:|The following story from Herodotus tells the results:
LJ028-0261|At last when the time came for rebelling openly they did as follows:|At last when the time came for rebelling openly they did as follows:
LJ028-0262|having first set apart their mothers, each man chose besides out of his whole household one woman whomsoever he pleased;|having first set apart their mothers, each man chose besides out of his whole household one woman whomsoever he pleased;
LJ028-0263|these alone were allowed to live, while all the rest were brought to one place and strangled.|these alone were allowed to live, while all the rest were brought to one place and strangled.
LJ028-0264|The women chosen were kept to make bread for the men; while the others were strangled that they might not consume the stores.|The women chosen were kept to make bread for the men; while the others were strangled that they might not consume the stores.
LJ028-0265|When tidings reached Darius of what had happened,|When tidings reached Darius of what had happened,
LJ028-0266|he drew together all his power and began the war by marching straight upon Babylon and laying siege to the place.|he drew together all his power and began the war by marching straight upon Babylon and laying siege to the place.
LJ028-0267|The Babylonians, however, cared not a whit for his siege.|The Babylonians, however, cared not a whit for his siege.
LJ028-0268|Mounting upon the battlements that crowned their walls, they insulted and jeered at Darius and his mighty host.|Mounting upon the battlements that crowned their walls, they insulted and jeered at Darius and his mighty host.
LJ028-0269|"One even shouted to them and said, ""Why sit ye there, Persians? Why do ye not go back to your homes? Till mules foal ye will not take our city!"""|"One even shouted to them and said, ""Why sit ye there, Persians? Why do ye not go back to your homes? Till mules foal ye will not take our city!"""
LJ028-0270|This was said by a Babylonian who thought that a mule would never foal.|This was said by a Babylonian who thought that a mule would never foal.
LJ028-0271|Now when a year and seven months had passed, Darius and his army were quite wearied out, finding that they could not anyhow take the city.|Now when a year and seven months had passed, Darius and his army were quite wearied out, finding that they could not anyhow take the city.
LJ028-0272|All stratagems and all arts had been used, and yet the King could not prevail|All stratagems and all arts had been used, and yet the King could not prevail
LJ028-0273|not even when he tried the means by which Cyrus had made himself master of the place.|not even when he tried the means by which Cyrus had made himself master of the place.
LJ028-0274|The Babylonians were ever upon the watch, and he found no way of conquering them.|The Babylonians were ever upon the watch, and he found no way of conquering them.
LJ028-0275|At last, in the twentieth month,|At last, in the twentieth month,
LJ028-0276|a marvelous thing happened to Zopyrus, son of the Megabyzus who was among the seven men that overthrew the Magus.|a marvelous thing happened to Zopyrus, son of the Megabyzus who was among the seven men that overthrew the Magus.
LJ028-0277|One of his sumpter-mules gave birth to a foal.|One of his sumpter-mules gave birth to a foal.
LJ028-0278|Zopyrus, when they told him, not thinking that it could be true, went and saw the colt with his own eyes;|Zopyrus, when they told him, not thinking that it could be true, went and saw the colt with his own eyes;
LJ028-0279|after which he commanded his servants to tell no one what had come to pass, while he himself pondered the matter.|after which he commanded his servants to tell no one what had come to pass, while he himself pondered the matter.
LJ028-0280|Calling to mind then the words of the Babylonian at the beginning of the siege:|Calling to mind then the words of the Babylonian at the beginning of the siege:
LJ028-0281|Till mules foal ye shall not take our city, he thought, as he reflected on this speech, that Babylon might now be taken,|Till mules foal ye shall not take our city, he thought, as he reflected on this speech, that Babylon might now be taken,
LJ028-0282|for it seemed to him that there was a divine providence in the man having used the phrase, and then his mule having foaled.|for it seemed to him that there was a divine providence in the man having used the phrase, and then his mule having foaled.
LJ028-0283|As soon therefore as he felt within himself that Babylon was fated to be taken, he went to Darius and asked him if he set a very high value on its conquest.|As soon therefore as he felt within himself that Babylon was fated to be taken, he went to Darius and asked him if he set a very high value on its conquest.
LJ028-0284|When he found that Darius did indeed value it highly, he considered further with himself how he might make the deed his own, and be the man to take Babylon.|When he found that Darius did indeed value it highly, he considered further with himself how he might make the deed his own, and be the man to take Babylon.
LJ028-0285|Noble exploits in Persia are ever highly honored and bring their authors to greatness.|Noble exploits in Persia are ever highly honored and bring their authors to greatness.
LJ028-0286|He therefore reviewed all ways of bringing the city under,|He therefore reviewed all ways of bringing the city under,
LJ028-0287|but found none by which he could hope to prevail, unless he maimed himself and then went over to the enemy.|but found none by which he could hope to prevail, unless he maimed himself and then went over to the enemy.
LJ028-0288|To do this seeming to him a light matter, he mutilated himself in a way that was utterly without remedy.|To do this seeming to him a light matter, he mutilated himself in a way that was utterly without remedy.
LJ028-0289|For he cut off his own nose and ears, and then, clipping his hair close and flogging himself with a scourge,|For he cut off his own nose and ears, and then, clipping his hair close and flogging himself with a scourge,
LJ028-0290|he came in this plight before Darius.|he came in this plight before Darius.
LJ028-0291|Wrath stirred within the King at the sight of a man of his lofty rank in such a condition;|Wrath stirred within the King at the sight of a man of his lofty rank in such a condition;
LJ028-0292|leaping down from his throne he exclaimed aloud and asked Zopyrus who it was that had disfigured him, and what he had done to be so treated.|leaping down from his throne he exclaimed aloud and asked Zopyrus who it was that had disfigured him, and what he had done to be so treated.
LJ028-0293|"Zopyrus answered, ""There is not a man in the world, but thou, O King, that could reduce me to such a plight"|"Zopyrus answered, ""There is not a man in the world, but thou, O King, that could reduce me to such a plight"
LJ028-0294|no stranger's hands have wrought this work on me, but my own only.|no stranger's hands have wrought this work on me, but my own only.
LJ028-0295|"I maimed myself because I could not endure that the Assyrians should laugh at the Persians. ""Wretched man,"" said Darius,"|"I maimed myself because I could not endure that the Assyrians should laugh at the Persians. ""Wretched man,"" said Darius,"
LJ028-0296|thou coverest the foulest deeds with the fairest possible name, when thou sayest thy maiming is to help our siege forward.|thou coverest the foulest deeds with the fairest possible name, when thou sayest thy maiming is to help our siege forward.
LJ028-0297|How will thy disfigurement, thou simpleton, induce the enemy to yield one day sooner?|How will thy disfigurement, thou simpleton, induce the enemy to yield one day sooner?
LJ028-0298|Surely thou hadst gone out of thy mind when thou didst so misuse thyself.|Surely thou hadst gone out of thy mind when thou didst so misuse thyself.
LJ028-0299|"Had I told thee, rejoined the other, ""what I was bent on doing, thou wouldst not have suffered it;"|"Had I told thee, rejoined the other, ""what I was bent on doing, thou wouldst not have suffered it;"
LJ028-0300|as it is, I kept my own counsel, and so accomplished my plans.|as it is, I kept my own counsel, and so accomplished my plans.
LJ028-0301|Now, therefore, if there be no failure on thy part, we shall take Babylon.|Now, therefore, if there be no failure on thy part, we shall take Babylon.
LJ028-0302|I will desert to the enemy as I am, and when I get into their city I will tell them that it is by thee that I have been thus treated.|I will desert to the enemy as I am, and when I get into their city I will tell them that it is by thee that I have been thus treated.
LJ028-0303|I think they will believe my words and entrust me with a command of troops. Thou, on thy part, must wait|I think they will believe my words and entrust me with a command of troops. Thou, on thy part, must wait
LJ028-0304|till the tenth day after I am entered within the town, and then place near to the gates of Semiramis a detachment of thy army,|till the tenth day after I am entered within the town, and then place near to the gates of Semiramis a detachment of thy army,
LJ028-0305|troops for whose loss thou wilt care little, a thousand men.|troops for whose loss thou wilt care little, a thousand men.
LJ028-0306|Wait, after that, seven days, and post me another detachment, two thousand strong, at the Nineveh gates;|Wait, after that, seven days, and post me another detachment, two thousand strong, at the Nineveh gates;
LJ028-0307|then let twenty days pass, and at the end of that time station near the Chaldasan gates a body of four thousand.|then let twenty days pass, and at the end of that time station near the Chaldasan gates a body of four thousand.
LJ028-0308|Let neither these nor the former troops be armed with any weapons but their swords those thou mayest leave them.|Let neither these nor the former troops be armed with any weapons but their swords those thou mayest leave them.
LJ028-0309|After the twenty days are over, bid thy whole army attack the city on every side, and put me two bodies of Persians,|After the twenty days are over, bid thy whole army attack the city on every side, and put me two bodies of Persians,
LJ028-0310|one at the Belian, the other at the Cissian gates; for I expect that, on account of my successes,|one at the Belian, the other at the Cissian gates; for I expect that, on account of my successes,
LJ028-0311|the Babylonians will entrust everything, even the keys of their gates, to me. Then it will be for me and my Persians to do the rest.|the Babylonians will entrust everything, even the keys of their gates, to me. Then it will be for me and my Persians to do the rest.
LJ028-0312|Having left these instructions, Zopyrus fled towards the gates of the town, often looking back, to give himself the air of a deserter.|Having left these instructions, Zopyrus fled towards the gates of the town, often looking back, to give himself the air of a deserter.
LJ028-0313|The men upon the towers, whose business it was to keep a lookout,|The men upon the towers, whose business it was to keep a lookout,
LJ028-0314|observing him, hastened down, and setting one of the gates slightly ajar, questioned him who he was, and on what errand he had come.|observing him, hastened down, and setting one of the gates slightly ajar, questioned him who he was, and on what errand he had come.
LJ028-0315|He replied that he was Zopyrus, and deserted to them from the Persians.|He replied that he was Zopyrus, and deserted to them from the Persians.
LJ028-0316|Then the doorkeepers, when they heard this, carried him at once before the Magistrates.|Then the doorkeepers, when they heard this, carried him at once before the Magistrates.
LJ028-0317|Introduced into their assembly, he began to bewail his misfortunes, telling them that|Introduced into their assembly, he began to bewail his misfortunes, telling them that
LJ028-0318|Darius had maltreated him in the way they could see, only because he had given advice that the siege should be raised, since there seemed no hope of taking the city.|Darius had maltreated him in the way they could see, only because he had given advice that the siege should be raised, since there seemed no hope of taking the city.
LJ028-0319|"And now, he went on to say, ""my coming to you, Babylonians,"|"And now, he went on to say, ""my coming to you, Babylonians,"
LJ028-0320|will prove the greatest gain that you could possibly receive, while to Darius and the Persians it will be the severest loss.|will prove the greatest gain that you could possibly receive, while to Darius and the Persians it will be the severest loss.
LJ028-0321|Verily he by whom I have been so mutilated shall not escape unpunished. And truly all the paths of his counsels are known to me.|Verily he by whom I have been so mutilated shall not escape unpunished. And truly all the paths of his counsels are known to me.
LJ028-0322|Thus did Zopyrus speak.|Thus did Zopyrus speak.
LJ028-0323|The Babylonians, seeing a Persian of such exalted rank in so grievous a plight, his nose and ears cut off,|The Babylonians, seeing a Persian of such exalted rank in so grievous a plight, his nose and ears cut off,
LJ028-0324|his body red with marks of scourging and with blood, had no suspicion but that he spoke the truth, and was really come to be their friend and helper.|his body red with marks of scourging and with blood, had no suspicion but that he spoke the truth, and was really come to be their friend and helper.
LJ028-0325|They were ready, therefore, to grant him anything he asked;|They were ready, therefore, to grant him anything he asked;
LJ028-0326|and on his suing for a command, they entrusted to him a body of troops with the help of which he proceeded to do as he had arranged with Darius.|and on his suing for a command, they entrusted to him a body of troops with the help of which he proceeded to do as he had arranged with Darius.
LJ028-0327|On the tenth day after his flight he led out his detachment, and surrounding the thousand men,|On the tenth day after his flight he led out his detachment, and surrounding the thousand men,
LJ028-0328|whom Darius according to agreement had sent first, he fell upon them and slew them all.|whom Darius according to agreement had sent first, he fell upon them and slew them all.
LJ028-0329|Then the Babylonians, seeing that his deeds were as brave as his words, were beyond measure pleased, and set no bounds to their trust.|Then the Babylonians, seeing that his deeds were as brave as his words, were beyond measure pleased, and set no bounds to their trust.
LJ028-0330|and when the next period agreed on had elapsed, again with a band of picked men he sallied forth, and slaughtered the two thousand.|and when the next period agreed on had elapsed, again with a band of picked men he sallied forth, and slaughtered the two thousand.
LJ028-0331|After this second exploit, his praise was in all mouths.|After this second exploit, his praise was in all mouths.
LJ028-0332|Once more, however, he waited till the interval appointed had gone by, and then leading the troops to the place where the four thousand were,|Once more, however, he waited till the interval appointed had gone by, and then leading the troops to the place where the four thousand were,
LJ028-0333|he put them also to the sword.|he put them also to the sword.
LJ028-0334|This last victory gave him the finishing stroke to his power and made him all in all with the Babylonians:|This last victory gave him the finishing stroke to his power and made him all in all with the Babylonians:
LJ028-0335|accordingly they committed to him the command of their whole army, and put the keys of their city into his hands.|accordingly they committed to him the command of their whole army, and put the keys of their city into his hands.
LJ028-0336|Darius now, still keeping to the plan agreed upon,|Darius now, still keeping to the plan agreed upon,
LJ028-0337|attacked the walls on every side, whereupon Zopyrus played out the remainder of his stratagem.|attacked the walls on every side, whereupon Zopyrus played out the remainder of his stratagem.
LJ028-0338|While the Babylonians, crowding to the walls, did their best to resist the Persian assault,|While the Babylonians, crowding to the walls, did their best to resist the Persian assault,
LJ028-0339|he threw open the Cissian and Belian gates, and admitted the enemy.|he threw open the Cissian and Belian gates, and admitted the enemy.
LJ028-0340|Such of the Babylonians as witnessed the treachery took refuge in the temple of Jupiter Belus;|Such of the Babylonians as witnessed the treachery took refuge in the temple of Jupiter Belus;
LJ028-0341|the rest who did not see it kept at their posts, till at last they too learned that they were betrayed.|the rest who did not see it kept at their posts, till at last they too learned that they were betrayed.
LJ028-0342|Thus was Babylon taken for the second time.|Thus was Babylon taken for the second time.
LJ028-0343|Darius having become master of the place, destroyed the wall, and tore down all the gates;|Darius having become master of the place, destroyed the wall, and tore down all the gates;
LJ028-0344|for Cyrus had done neither the one nor the other when he took Babylon.|for Cyrus had done neither the one nor the other when he took Babylon.
LJ028-0345|He then chose out near three thousand of the leading citizens and caused them to be crucified, while he allowed the remainder still to inhabit the city.|He then chose out near three thousand of the leading citizens and caused them to be crucified, while he allowed the remainder still to inhabit the city.
LJ028-0346|Further, wishing to prevent the race of the Babylonians from becoming extinct,|Further, wishing to prevent the race of the Babylonians from becoming extinct,
LJ028-0347|he provided wives for them in the room of those whom (as I explained before) they strangled to save their stores.|he provided wives for them in the room of those whom (as I explained before) they strangled to save their stores.
LJ028-0348|These he levied from the nations bordering on Babylonia,|These he levied from the nations bordering on Babylonia,
LJ028-0349|who were each required to send so large a number to Babylon, that in all there were collected no fewer than fifty thousand.|who were each required to send so large a number to Babylon, that in all there were collected no fewer than fifty thousand.
LJ028-0350|It is from these women that the Babylonians of our times are sprung.|It is from these women that the Babylonians of our times are sprung.
LJ028-0351|As for Zopyrus he was considered by Darius to have surpassed, in the greatness of his achievements, all other Persians,|As for Zopyrus he was considered by Darius to have surpassed, in the greatness of his achievements, all other Persians,
LJ028-0352|whether of former or of later times, except only Cyrus with whom no person ever yet thought himself worthy to compare.|whether of former or of later times, except only Cyrus with whom no person ever yet thought himself worthy to compare.
LJ028-0353|"Darius, as the story goes, would often say that ""he had rather Zopyrus were unmaimed, than be master of twenty more Babylons."""|"Darius, as the story goes, would often say that ""he had rather Zopyrus were unmaimed, than be master of twenty more Babylons."""
LJ028-0354|And he honored Zopyrus greatly; year by year he presented him with all the gifts which are held in most esteem among the Persians;|And he honored Zopyrus greatly; year by year he presented him with all the gifts which are held in most esteem among the Persians;
LJ028-0355|he gave him likewise the government of Babylon for his life, free from tribute, and he also granted him many other favors.|he gave him likewise the government of Babylon for his life, free from tribute, and he also granted him many other favors.
LJ028-0356|How much truth there may be in this interesting tale of Herodotus, we may never know,|How much truth there may be in this interesting tale of Herodotus, we may never know,
LJ028-0357|yet we may be sure that Babylon was taken by Darius only by use of stratagem. Its walls were impregnable.|yet we may be sure that Babylon was taken by Darius only by use of stratagem. Its walls were impregnable.
LJ028-0358|Cyrus had permitted them to stand, and as long as he made Babylon his home, the city was as strongly protected as ever.|Cyrus had permitted them to stand, and as long as he made Babylon his home, the city was as strongly protected as ever.
LJ028-0359|Darius, who besieged the rebellious city twice, weakened it by destroying some of its walls.|Darius, who besieged the rebellious city twice, weakened it by destroying some of its walls.
LJ028-0360|During the reign of Xerxes again the city rebelled, and in 484 B.C. he captured it, and completely demolished its defenses.|During the reign of Xerxes again the city rebelled, and in four eighty-four B.C. he captured it, and completely demolished its defenses.
LJ028-0361|Yet Babylon continued to live,|Yet Babylon continued to live,
LJ028-0362|for history mentions the names of two of its later rulers. The palace of Nebuchadnezzar was occupied by Alexander the Great,|for history mentions the names of two of its later rulers. The palace of Nebuchadnezzar was occupied by Alexander the Great,
LJ028-0363|and there on June 13, 323 B.C., he met his death.|and there on June thirteen, three twenty-three B.C., he met his death.
LJ028-0364|The city then fell to Seleucus,|The city then fell to Seleucus,
LJ028-0365|one of Alexander's generals, who for a time made it his home, but he was a Greek and cared little for things Babylonian.|one of Alexander's generals, who for a time made it his home, but he was a Greek and cared little for things Babylonian.
LJ028-0366|Therefore, to destroy the power of the old capital, he planned to build Seleucia on the Tigris about fifty miles to the east.|Therefore, to destroy the power of the old capital, he planned to build Seleucia on the Tigris about fifty miles to the east.
LJ028-0367|The priests of the temple of Bel, so a story tells us,|The priests of the temple of Bel, so a story tells us,
LJ028-0368|learned of his purpose, and when they were consulted as to the most favorable time for beginning the work upon the new city,|learned of his purpose, and when they were consulted as to the most favorable time for beginning the work upon the new city,
LJ028-0369|they intentionally mentioned a most unfavorable hour.|they intentionally mentioned a most unfavorable hour.
LJ028-0370|The priests' deception was unavailing, and in 275 B.C., the inhabitants of Babylon were transported to Seleucia.|The priests' deception was unavailing, and in two seventy-five B.C., the inhabitants of Babylon were transported to Seleucia.
LJ028-0371|Then the world metropolis, stripped of most of its population, became a mere village.|Then the world metropolis, stripped of most of its population, became a mere village.
LJ028-0372|The poor of the surrounding country occupied its dismantled palaces.|The poor of the surrounding country occupied its dismantled palaces.
LJ028-0373|The Hebrew exiles, whose ancestors Nebuchadnezzar had brought from Jerusalem,|The Hebrew exiles, whose ancestors Nebuchadnezzar had brought from Jerusalem,
LJ028-0374|settled there, and finally the place was abandoned to the Arabs of the desert.|settled there, and finally the place was abandoned to the Arabs of the desert.
LJ028-0375|Slowly the few remaining walls fell, and were buried in their own ruins.|Slowly the few remaining walls fell, and were buried in their own ruins.
LJ028-0376|As the centuries passed the mounds into which the city had turned grew higher and higher with the ruins of the huts later built upon them,|As the centuries passed the mounds into which the city had turned grew higher and higher with the ruins of the huts later built upon them,
LJ028-0377|until at last the foundations of the temples and palaces were buried fully a hundred feet beneath the surface.|until at last the foundations of the temples and palaces were buried fully a hundred feet beneath the surface.
LJ028-0378|Even the shepherds ceased to graze their sheep there, and the wandering Arabs,|Even the shepherds ceased to graze their sheep there, and the wandering Arabs,
LJ028-0379|fearing the wild beasts and evil spirits which lurk among all old ruins, refused to pitch their tents there.|fearing the wild beasts and evil spirits which lurk among all old ruins, refused to pitch their tents there.
LJ028-0380|The prophecy of the Hebrew Isaiah was fulfilled:|The prophecy of the Hebrew Isaiah was fulfilled:
LJ028-0381|Wild beasts of the desert shall lie there;|Wild beasts of the desert shall lie there;
LJ028-0382|and their houses shall be full of doleful creatures, and owls shall dwell there, and satyrs shall dance there,|and their houses shall be full of doleful creatures, and owls shall dwell there, and satyrs shall dance there,
LJ028-0383|and the wild beasts of the islands shall cry in their desolate houses, and dragons in their pleasant palaces.|and the wild beasts of the islands shall cry in their desolate houses, and dragons in their pleasant palaces.
LJ028-0384|So Babylon was buried and forgotten.|So Babylon was buried and forgotten.
LJ028-0385|"It had become, as Dio Cassius said, ""Mounds and legends and ruins."""|"It had become, as Dio Cassius said, ""Mounds and legends and ruins."""
LJ028-0386|But the walls of the old city had not yet served their full purpose.|But the walls of the old city had not yet served their full purpose.
LJ028-0387|The Sassanian kings of Persia were fond of hunting, and Babylon, then overgrown with trees, was their game preserve.|The Sassanian kings of Persia were fond of hunting, and Babylon, then overgrown with trees, was their game preserve.
LJ028-0388|The old walls were restored to a height sufficient to prevent the escape of the animals, and among the ruins the kings enjoyed their favorite sport.|The old walls were restored to a height sufficient to prevent the escape of the animals, and among the ruins the kings enjoyed their favorite sport.
LJ028-0389|St. Jerome said:|St. Jerome said:
LJ028-0390|I was informed by a certain Elamite brother, who came from those regions, and now leads the life of a monk at Jerusalem,|I was informed by a certain Elamite brother, who came from those regions, and now leads the life of a monk at Jerusalem,
LJ028-0391|that there is a royal hunting ground at Babylon, and that wild game of every kind is contained within the circuit of its walls.|that there is a royal hunting ground at Babylon, and that wild game of every kind is contained within the circuit of its walls.
LJ028-0392|The statement of St. Jerome is confirmed by the following passage from Zosimus, a Greek writer of the fifth century A.D.:|The statement of St. Jerome is confirmed by the following passage from Zosimus, a Greek writer of the fifth century A.D.:
LJ028-0393|As the Emperor Julian was marching forward through Babylonia,|As the Emperor Julian was marching forward through Babylonia,
